filename,width,height,class,xmin,ymin,xmax,ymax
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\16. roger-federer-vs-rafael-nadal.jpg,666,444,rafael nadal,185,56,226,104
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\16. roger-federer-vs-rafael-nadal.jpg,666,444,roger federer,474,69,517,121
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\17. 101129-o2-atp-world-tour-finals-federer-vs-nadal.jpg,350,233,roger federer,141,7,151,20
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\17. 2044079-42877067-2560-1440.jpg,1050,590,roger federer,454,203,597,372
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\17. 29e4a1d6e5bf41669c4cb03cc812d3a8.jpg,300,300,rafael nadal,158,18,196,78
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\17. 592b5d742d524.image.jpg,1200,912,jack sock,494,154,716,418
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\17. andy-murray-vs-sam-querrey.jpg,1200,675,sam austin querry,393,78,645,399
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\17. roger-federer-survives-sam-querrey-to-reach-wimbledon-third-round.jpg,700,466,roger federer,302,34,344,87
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\18. 3962.jpg,300,180,roger federer,99,14,124,49
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\18. c5nujvewaaetvuj.jpg,550,309,jack sock,183,40,254,127
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\18. federer-nadal-1617965428.jpg,610,446,roger federer,322,91,429,233
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\18. federer-nadal-1617965428.jpg,610,446,rafael nadal,129,98,236,227
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\18. nadal-rafael-10092017.jpg,780,438,rafael nadal,247,115,365,269
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\18. sam%2bquerrey.jpg,738,415,sam austin querry,372,63,491,222
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\18. skysports-marin-cilic-tomas-berdych-sam-querrey-wimbledon-tennis_4001197.jpg,768,432,sam austin querry,316,50,417,186
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\19. 316edd8400000578-3457794-sam_querrey_holds_up_his_trophy_after_winning_the_delray_beach_o-m-56_1456112686292.jpg,634,434,sam austin querry,311,47,421,215
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\19. main-qimg-b1754be7eec2b46b6a84f9088101993e-c.jpg,300,300,roger federer,128,32,173,89
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\19. nintchdbpict000378323228-e1516011565479.jpg,648,959,rafael nadal,179,264,292,422
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\19. roger_federer_indian_wells.jpg,1086,750,roger federer,679,230,847,450
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\2. 07-lob_3362393b.jpg,620,398,roger federer,314,53,347,93
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\2. 160702122901-sam-querrey-0702-exlarge-169.jpg,780,438,sam austin querry,311,80,431,244
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\2. 5aada7ad2a52a_40federer.jpg,800,720,roger federer,419,96,539,239
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\2. federer.jpg,1170,658,roger federer,698,119,814,259
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\2. federer.jpg,1170,658,rafael nadal,363,189,479,325
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\2. jacksockexcitement.jpg,4720,3280,jack sock,2143,256,2617,978
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\2. nadal-roland-garros-2017-monday1.jpg,1920,1080,rafael nadal,880,266,1119,561
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\20. 16tennis-master768.jpg,768,471,roger federer,172,95,287,230
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\20. 69580711_roger_fed_3362563b.jpg,620,387,roger federer,235,93,318,197
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\20. federer-vs-nadal-reuters-m.jpg,759,422,rafael nadal,594,32,629,74
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\20. federer-vs-nadal-reuters-m.jpg,759,422,roger federer,130,32,165,79
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\20. nintchdbpict000336398751.jpg,794,960,jack sock,372,141,483,287
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\20. rafael-nadal.jpg,2048,1536,rafael nadal,1050,207,1384,628
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\20. sam-querrey-wiki.jpg,750,400,sam austin querry,193,73,306,227
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\21. 07db85630e7db4447c3177ed74e5e4eb.jpg,650,366,roger federer,185,73,291,209
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\21. 28tennis-01-master768.jpg,768,512,jack sock,380,57,464,161
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\21. federer-nadal-laver-cup.jpg,4017,2678,roger federer,2403,494,2594,722
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\21. federer-nadal-laver-cup.jpg,4017,2678,rafael nadal,1591,291,1791,500
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\21. nadal-melbourne-2018-friday.jpg,1920,1080,rafael nadal,1084,85,1244,306
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\21. roger-federer-wimbledon-0407.jpg,806,605,roger federer,542,75,599,176
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\22. 17885_10151606100399680_935058439_n.jpg,960,854,jack sock,322,75,411,176
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\22. 35dd951f00000578-3670556-image-a-21_1467403427106.jpg,634,518,sam austin querry,162,85,286,255
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\22. 8873210-3x2-940x627.jpg,940,627,roger federer,339,101,502,291
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\22. _97990247_hi041928556.jpg,480,270,roger federer,133,42,186,91
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\22. _97990247_hi041928556.jpg,480,270,rafael nadal,254,47,315,85
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\22. merlin_133012670_e982baa4-fa53-45b3-be3a-ce6f10f2fbac-master768.jpg,768,512,roger federer,449,166,573,314
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\22. sam-querrey-marin-cilic-can-give-federer-some-trouble-.jpg,700,393,sam austin querry,284,39,315,80
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\23. 26a14115a0e15ce85475d33221b97db3.jpg,245,300,roger federer,90,29,116,59
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\23. ct-sam-querrey-novak-djokovic-wimbledon-20160702.jpg,2048,1363,sam austin querry,450,139,676,450
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\23. fedal.jpg,700,393,rafael nadal,226,112,313,210
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\23. fedal.jpg,700,393,roger federer,387,97,475,210
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\23. roger-federer-933267.jpg,590,350,roger federer,227,47,284,112
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\23. skysports-rafael-nada-nadal-marin-cilic_4212822.jpg,768,432,rafael nadal,408,90,505,230
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\23. sock-delray-beach-2017-saturday.jpg,1920,1080,jack sock,717,125,941,399
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\24. 170110112747-roger-federer-full-169.jpg,1600,900,roger federer,861,252,1078,522
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\24. 600.jpg,1400,789,jack sock,636,83,843,371
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\24. dda2c1164780a8e8a3862f9d98007179.jpg,610,550,roger federer,353,55,435,141
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\24. dda2c1164780a8e8a3862f9d98007179.jpg,610,550,rafael nadal,163,69,235,151
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\24. federer-nadal-laver-cup.jpg,4017,2678,rafael nadal,1591,291,1788,494
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\24. federer-nadal-laver-cup.jpg,4017,2678,roger federer,2406,497,2585,725
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\25. 48aa2c5e58e843b99c3d9d754b862ff9.jpg,2193,2807,roger federer,651,492,866,742
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\25. ec64e5c00db663372469fc942733d4ec.jpg,1024,768,rafael nadal,216,91,354,293
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\25. ec64e5c00db663372469fc942733d4ec.jpg,1024,768,roger federer,638,68,783,238
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\25. maxresdefault.jpg,1280,720,roger federer,215,161,379,355
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\25. maxresdefault.jpg,1280,720,sam austin querry,903,164,1152,492
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\25. o6wwu5akbvdgbjcacgic27sr2m.jpg,1400,788,rafael nadal,434,139,617,349
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\25. querrey-cincinnati-2017-monday.jpg,1920,1080,sam austin querry,896,105,1107,353
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\26. 416x416.jpg,416,415,roger federer,132,110,271,277
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\26. 592759-roger-federer-wimbledon-2017-practice-afp.jpg,1280,720,roger federer,634,154,764,321
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\26. https%3a%2f%2fspecials-images.forbesimg.com%2fimageserve%2f694853828%2f960x0.jpg%3ffit%3dscale.jpg,960,640,rafael nadal,453,125,569,305
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\26. jack-sock-t.jpg,820,492,jack sock,334,55,459,232
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\26. rafael-nadal-no-player-is-more-elegant-than-roger-federer-.jpg,848,477,roger federer,505,128,655,307
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\26. rafael-nadal-no-player-is-more-elegant-than-roger-federer-.jpg,848,477,rafael nadal,202,119,344,278
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\26. sam_querry.jpg,750,500,sam austin querry,349,53,483,259
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\27. 18federer.jpg,670,520,roger federer,262,128,341,195
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\27. federere.jpg,2612,1741,rafael nadal,899,269,1176,644
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\27. federere.jpg,2612,1741,roger federer,1197,286,1501,615
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\27. jack-sock-02-3fd52c0f-847d-4a0a-bff5-a8cd6803a531.jpg,700,394,jack sock,168,64,233,149
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\27. rafael-nadal-917114.jpg,590,350,rafael nadal,264,87,358,185
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\27. sam-querrey-the-quiet-american.jpg,700,393,sam austin querry,347,22,411,108
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\28. 170127184307-nadal-federer-roland-garros-2008-exlarge-169.jpg,780,438,roger federer,189,38,287,162
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\28. 170127184307-nadal-federer-roland-garros-2008-exlarge-169.jpg,780,438,rafael nadal,491,36,590,165
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\28. 903685110.jpg,748,487,roger federer,331,59,411,166
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\28. _97990247_hi041928556.jpg,480,270,rafael nadal,256,48,312,84
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\28. _97990247_hi041928556.jpg,480,270,roger federer,133,42,187,93
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\28. australia+v+usa+davis+cup+world+group+quarterfinals+ng5tfx_vukxl.jpg,600,389,jack sock,248,67,344,184
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\28. prague-czech-republic-23rd-sep-2017-us-tennis-player-sam-querrey-team-ka334k.jpg,1300,821,sam austin querry,552,79,704,261
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\28. querrey-withdrawal-147556969.jpg,700,474,sam austin querry,148,65,240,174
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\29. 04-sock-saturday-london-2017.jpg,1920,1080,jack sock,1055,62,1174,209
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\29. 636354766100317920-usp-tennis-wimbledon-92321739.jpg,534,401,sam austin querry,193,107,246,187
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\29. 636567565681269106-federer10483.jpg,534,401,roger federer,230,1,319,115
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\29. rafael-nadal-vs-roger-federer-afp_806x605_41485684012.jpg,806,605,rafael nadal,133,126,295,305
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\29. rafael-nadal-vs-roger-federer-afp_806x605_41485684012.jpg,806,605,roger federer,531,110,689,304
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\29. rafael-nadal.jpg,780,438,rafael nadal,355,131,496,298
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\3. 9110656-3x2-940x627.jpg,940,627,rafael nadal,430,220,540,365
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\3. federer.jpg,1920,1080,roger federer,910,84,1008,217
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\3. nadal-federer759.jpg,759,422,roger federer,130,69,172,121
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\3. nadal-federer759.jpg,759,422,rafael nadal,597,61,643,112
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\3. querrey-us-open-2017-sunday.jpg,1920,1080,sam austin querry,513,105,724,392
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\3. sock-nitto-atp-finals-practice-2017-friday.jpg,1920,1080,jack sock,641,149,813,373
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\3. watch_live_tennis_r__federer_vs_s__querrey_2nd_jul_by_wimbledon2015tennis-d8zm0qg.jpg,634,380,sam austin querry,339,46,438,184
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\30. 011818-nadalcaroline.jpg,950,633,rafael nadal,146,67,287,267
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\30. 220px-the_federer_technique_-_oz_open_2014.jpg,220,415,roger federer,88,94,117,126
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\30. gettyimages-852486766.jpg,700,415,rafael nadal,346,71,384,116
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\30. gettyimages-852486766.jpg,700,415,sam austin querry,511,42,544,83
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\30. jack-sock-iw-16_new.jpg,1500,986,jack sock,683,89,816,285
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\30. maxresdefault.jpg,1280,720,roger federer,520,129,641,298
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\31. 2.33721845.jpg,1068,680,jack sock,581,177,696,354
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\31. 3c9ff9ff00000578-0-image-a-11_1485723412474.jpg,634,808,roger federer,425,79,517,208
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\31. hi-res-5c57a3d6e912f3544a466b73f346cff3_crop_north.jpg,800,533,sam austin querry,592,184,709,351
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\31. maxresdefault.jpg,1280,720,roger federer,911,129,1078,331
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\31. maxresdefault.jpg,1280,720,rafael nadal,501,181,655,370
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\31. nadal-madrid-2017-friday.jpg,1920,1080,rafael nadal,718,124,1019,527
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\32. 0d98a6e5337040a38da5cfb414587a1f.jpg,2470,3098,rafael nadal,1443,278,1695,598
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\32. 3c9182dd00000578-4163888-image-a-6_1485525924279.jpg,634,406,rafael nadal,218,49,254,124
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\32. 3c9182dd00000578-4163888-image-a-6_1485525924279.jpg,634,406,roger federer,423,57,473,128
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\32. jack-sock-federer-is-the-greatest-player-ever-but-i-can-give-myself-a-shot-.jpg,700,555,jack sock,158,66,255,188
